ID, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1069,1.521781999,2.492152872,1.884344754,1.243735301,0.125511081,0.228518204,0.001048734,0.439454432,0.628957485,0.45136929,0.44281038,0.014895409,0.158704206,0.66925147,2.055284939,2.219232248,0.630052578,29716,35364,24256,15202,2744,600,0,2842,1860,9264,7064,18,2202,692,26160,30854,96,7368
1264,0.57514444,0.8863458,1.853748394,0.028241279,0.46477018,0.115773832,0.4481559,0.868659363,0.281973051,1.13684473,0.509338874,0.394854049,0.016230198,0.073637325,0.656717038,0.434263947,1.72110918,50434,32986,59294,1850,32550,1882,3316,3960,6554,64850,71972,17964,39402,1918,15744,12958,2530,74670
1290,0.574800373,0.473202893,2.582152841,1.41746634,0.359177459,0.356220744,0.229747287,0.820141407,0.011615214,0.811703185,0.958795006,1.082868277,0.010201143,0.008720803,1.06587096,0.906816007,0.611179092,22042,4360,81914,1784,7392,21702,102,578,0,26206,33486,71368,5422,332,30532,7406,4062,24242
1051,0.562393868,0.128677414,1.226967283,0.295857436,0.429774301,0.911349771,1.282258258,0.806549708,0.113657658,0.112997629,0.874177335,0.056038881,0.445338707,0.02016722,1.573853959,0.831806859,0.912607555,12048,1810,59656,3130,26432,55080,50198,36246,9566,3726,48832,1406,8600,4312,51596,36512,1222,50270
1237,1.664523699,1.789195396,1.865216096,0.958988392,0.556470884,0.532552138,0.202948733,1.09618669,0.762898046,1.311175276,0.410084349,0.54994912,0.089236022,0.288565487,1.637326756,1.710076997,1.122564326,85384,85050,59330,25854,28958,29938,4332,14926,9218,56252,83600,30986,14422,20034,54366,75952,14650,60074
1005,1.752869474,2.819743509,2.062701754,1.039685263,0.256838947,1.22345614,0.470498596,0.179186316,0.049665965,0.155441404,1.923185614,0.506821053,0.652971228,0.178949474,1.76617614,0.769575789,1.521281754,54618,45148,33856,17294,5168,28540,116,740,338,1110,17890,4356,9436,16820,18692,38622,50248,21306
1230,1.87746977,1.884338125,1.825238193,1.075159252,0.137621036,0.350443304,0.007649783,0.23050559,0.24880105,0.328468401,0.411590919,0.392193703,0.002887292,0.202368013,0.876645448,1.260538444,0.38255373,78658,78518,73238,39876,7836,11546,146,6298,5012,11278,15756,10324,742,3826,33400,66634,52570,31320
1298,0.942815766,0.567762792,2.149422528,-0.410292895,0.344013741,1.364614717,0.267039957,0.794365937,0.01964021,-0.026340626,0.952524317,0.518340264,-0.162162719,0.34861761,0.448376785,1.3228371,1.659319472,44292,29526,44254,322,6914,21736,3646,18380,1952,18280,42960,31176,38588,32070,6798,21274,2156,48340
1068,1.866096386,2.25405938,0.4258821,0.510276822,0.253732645,0.749718876,0.600753586,1.210702238,0.393371199,0.965296615,1.254600688,0.29768646,0.730480493,0.05739759,1.915204532,0.945469019,1.969465863,69344,65652,10648,3270,1440,11402,600,20234,1982,60100,64248,1378,838,9038,31296,47286,1426,45432
1236,1.915598733,2.109596856,2.696377097,0.871778716,0.052446791,0.302005163,0.174011733,0.46949431,0.190958583,0.850078845,1.486129532,1.098042004,0.094697172,0.19336642,1.967005749,1.987387774,0.550912589,79672,75100,81246,29830,3898,1870,4276,5328,162,25648,79428,22428,2896,13770,49102,67868,2756,22802
